CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
27,대구,27200,남구,남도석사태권도장,0536544624,42419,대구광역시 남구 현충로 140,2층 남도석사태권도장(대명동),22,태권도,128.5802577,35.8451926,장애인강좌,,
27,대구,27110,중구,필라테스누아,,41973,대구광역시 중구 남산로3길 99,3층(남산동),79,필라테스,128.5760615,35.8624358,장애인강좌,,
27,대구,27260,수성구,필라테스V,,42204,대구광역시 수성구 지범로 59,4층 필라테스V(지산동),79,필라테스,128.6293530,35.8260138,장애인강좌,,
27,대구,27170,서구,서구청소년수련관,0535722453,41759,대구광역시 서구 문화로 122,서구청소년수련관(이현동),12,수영,128.5454682,35.8736195,장애인강좌,,
27,대구,27230,북구,재단법인 행복북구문화재단,0533205120,41447,대구광역시 북구 구암로 47,어울아트센터 문화동1층 문화사업본부(관음동),25,헬스,128.5451287,35.9358673,장애인강좌,,
27,대구,27140,동구,그레이트짐,0539656255,41105,대구광역시 동구 안심로22길 54,4층 그레이트짐(율하동),03,기타종목,128.6974920,35.8631506,장애인강좌,,
27,대구,27140,동구,늘푸른체육관,0539594689,41218,대구광역시 동구 아양로34길 23,1층(신암동),22,태권도,128.6306224,35.8834791,장애인강좌,,
27,대구,27170,서구,서부탁구장,0535576969,41777,대구광역시 서구 국채보상로 235,서부탁구장4층(평리동),21,탁구,128.5565835,35.8709947,장애인강좌,,
27,대구,27710,달성군,다사당구클럽,025883975,42918,달성군 다사읍 죽곡리 119-4,2층,03,기타종목,128.4633818,35.8588743,장애인강좌,,
27,대구,27710,달성군,다온탁구클럽,0536356498,42955,대구광역시 달성군 화원읍 사문진로 441,4층 다온탁구클럽,21,탁구,128.4969880,35.8040507,장애인강좌,,
28,인천,28260,서구,lockon bowling senter,0325671880,22724,인천광역시 서구 승학로271번길 15,325-23(심곡동),10,볼링,126.6717261,37.5462862,장애인강좌,,
28,인천,28170,미추홀구,관교용인대태권도장,0324225246,22243,인천광역시 미추홀구 경원대로652번길 30,2층  관교용인대태권도장(관교동),22,태권도,126.6948915,37.4420151,장애인강좌,,
28,인천,28260,서구,오석탁구클럽,,22714,인천광역시 서구 탁옥로97번길 16-3,동도빌딩2층,21,탁구,126.6814497,37.5444509,장애인강좌,,
28,인천,28200,남동구,신대한경희대태권도장,0324384556,21559,인천광역시 남동구 인주대로 539,휴먼빌딩 2층(구월동),22,태권도,126.6966665,37.4505902,장애인강좌,,
28,인천,28237,부평구,용인대런주짓수,0322667585,21353,인천광역시 부평구 부흥로 393,금당빌딩 4층 용인대런주짓수(부개동),03,기타종목,126.7355329,37.4980854,장애인강좌,,
28,인천,28720,옹진군,(주)옹이진이스포츠진흥원,0327511199,23111,인천광역시 옹진군 북도면 장봉로530번길 34,(주)옹이진이스포츠진흥원,03,기타종목,126.3391735,37.5339369,장애인강좌,,
28,인천,28237,부평구,라이온 합기도 검무관,0325120308,21378,인천광역시 부평구 부흥로243번길 10,2층 라이온 합기도 검무관(부평동),75,합기도,126.7191040,37.4993146,장애인강좌,,
